
Co01-00 0 143 203 0.10 0.085 0.085 0.041 0.041 0.061 -3.8 103
Co01-7.5 -7.5 143 203 0.10 0.086 0.085 0.041 0.041 0.062 -6.8 104
Co01-15 -15 143 203 0.10 0.085 0.085 0.041 0.041 0.061 -1.3 103
Co01-30 -30 142 203 0.10 0.085 0.085 0.041 0.041 0.061 1.6 103
Co01-45 -45 143 203 0.10 0.086 0.085 0.041 0.042 0.061 3.1 102
Co01-60 -60 143 203 0.10 0.085 0.085 0.042 0.041 0.062 7.3 103
Co01-75 -75 143 203 0.10 0.085 0.085 0.041 0.042 0.061 5.1 103
Co01-82.5 -82.5 144 203 0.10 0.086 0.086 0.042 0.042 0.061 -2.2 104
Co05-7.5 -7.5 144 5.08103 0.50 0.088 0.086 0.042 0.042 0.061 0.0 106
Co05-30 -30 144 5.08103 0.50 0.087 0.086 0.042 0.042 0.061 8.7 106
Co05-60 -60 145 5.08103 0.50 0.087 0.086 0.043 0.043 0.061 3.6 107
Co05-82.5 -82.5 144 5.08103 0.50 0.086 0.086 0.042 0.043 0.061 8.6 106
Co1-00 0 143 2.03104 1.00 0.093 0.085 0.042 0.041 0.061 -5.8 105
Co1-7.5 -7.5 146 2.03104 0.99 0.092 0.087 0.043 0.043 0.061 13.8 107
Co1-15 -15 145 2.03104 0.99 0.089 0.087 0.041 0.044 0.061 15.5 107
Co1-30 -30 146 2.03104 0.99 0.089 0.087 0.043 0.045 0.060 18.2 108
Co1-45 -45 146 2.03104 0.99 0.088 0.087 0.043 0.045 0.060 22.9 107
Co1-60 -60 144 2.03104 1.01 0.086 0.086 0.043 0.044 0.059 25.5 105
Co1-75 -75 142 2.03104 1.03 0.085 0.085 0.043 0.043 0.059 23.4 104
Co1-82.5 -82.5 142 2.03104 1.03 0.085 0.085 0.042 0.042 0.059 26.6 104
Co2-7.5 -7.5 150 8.14104 1.93 0.095 0.089 0.042 0.050 0.060 2.4 110
Co2-30 -30 148 8.14104 1.97 0.090 0.088 0.046 0.050 0.057 32.4 109
Co2-60 -60 142 8.14104 2.06 0.085 0.085 0.044 0.046 0.056 52.8 105
Co2-82.5 -82.5 136 8.14104 2.17 0.081 0.081 0.041 0.041 0.056 41.5 100
Co4-00h 0 181 3.25105 3.23 0.111 0.108 0.038 0.073 0.066 9.7 137
Co4-00l 0 170 3.25105 3.40 0.103 0.101 0.035 0.067 0.064 16.8 17.0
Co4-7.5h -7.5 167 3.25105 3.48 0.101 0.100 0.047 0.062 0.061 48.7 127
Co4-7.5l -7.5 167 3.25105 3.50 0.100 0.099 0.048 0.063 0.060 31.7 52.0
Co4-15l -15 157 3.25105 3.71 0.094 0.094 0.050 0.056 0.056 -11.7 120
Co4-30h -30 146 3.25105 4.03 0.087 0.087 0.048 0.050 0.052 11.4 111
Co4-30l -30 146 3.25105 4.02 0.087 0.087 0.048 0.051 0.051 7.2 111
Co4-45l -45 135 3.25105 4.39 0.081 0.081 0.045 0.045 0.049 28.7 103
Co4-60h -60 129 3.25105 4.62 0.077 0.077 0.042 0.041 0.050 30.8 96
Co4-60l -60 132 3.25105 4.54 0.079 0.079 0.043 0.042 0.050 26.7 100
Co4-75l -75 127 3.25105 4.71 0.076 0.076 0.039 0.040 0.051 28.8 96.3
Co4-82.5h -82.5 126 3.25105 4.75 0.075 0.075 0.039 0.039 0.051 32.7 95.7
Co4-82.5l -82.5 128 3.25105 4.69 0.076 0.076 0.040 0.040 0.051 30.4 93.9
Co7-7.5 -7.5 173 9.97105 5.98 0.105 0.103 0.053 0.060 0.063 134 131
Co7-30 -30 142 9.97105 7.26 0.085 0.084 0.050 0.048 0.048 -25.4 107
Co7-60 -60 123 9.97105 8.51 0.074 0.074 0.041 0.039 0.046 -4.5 89.9
Co7-82.5 -82.5 123 9.97105 8.60 0.074 0.073 0.039 0.039 0.048 1.1 89.1
Co10-00 0 321 2.03106 4.81 0.248 0.191 0.034 0.142 0.112 -18.3 238
Co10-7.5 -7.5 172 2.03106 8.65 0.104 0.102 0.055 0.059 0.062 93.9 131
Co10-15 -15 148 2.03106 9.94 0.089 0.088 0.047 0.049 0.055 -57.1 33.8
Co10-30 -30 136 2.03106 10.9 0.081 0.081 0.047 0.044 0.049 -46.4 90.2
Co10-45 -45 117 2.03106 12.7 0.070 0.070 0.041 0.037 0.042 -33.3 75.6
Co10-60 -60 112 2.03106 13.3 0.067 0.067 0.038 0.036 0.041 -20.0 76.2
Co10-75 -75 96 2.03106 15.7 0.058 0.058 0.031 0.029 0.038 -13.3 22.6
Co10-82.5 -82.5 118 2.03106 12.5 0.071 0.070 0.041 0.038 0.041 -25.2 79.0
